comment,tokenized_comment,comment_without_stopword,stopword,translated_tokenized_comment,translated_comment_without_stopword,translated_stopword,pos_tagged_tokenized_comment,pos_tagged_comment_without_stopword,pos_tagged_stopword
ওকে নিসিদ্দ করা হক,"['ওকে', 'নিসিদ্দ', 'করা', 'হক']","['ওকে', 'নিসিদ্দ', 'করা', 'হক']",[],"['OK', 'Nisbid', 'Do', 'Right']","['OK', 'Nisbid', 'Do', 'Right']",[],"['JJ', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP']",[]
অনেক ভাল হইছে ,"['অনেক', 'ভাল', 'হইছে']","['ভাল', 'হইছে']",['অনেক'],"['Many', 'Good', 'Beyond']","['Good', 'Beyond']",['Many'],"['JJ', 'NNP', 'NN']","['JJ', 'NN']",['JJ']
বলিউড এর নায়িকার মত লুক,"['বলিউড', 'এর', 'নায়িকার', 'মত', 'লুক']","['বলিউড', 'এর', 'নায়িকার', 'মত', 'লুক']",[],"['Bollywood', 'Of', 'Heroine', 'Opinion', 'Look']","['Bollywood', 'Of', 'Heroine', 'Opinion', 'Look']",[],"['NNP', 'IN', 'NNP', 'NNP', 'NNP']","['NNP', 'IN', 'NNP', 'NNP', 'NNP']",[]
স্যালুট বসভালোবাসা অবিরাম75,"['স্যালুট', 'বসভালোবাসা', 'অবিরাম']","['স্যালুট', 'বসভালোবাসা', 'অবিরাম']",[],"['Salute', 'Bosom', 'Endless']","['Salute', 'Bosom', 'Endless']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
অছাম,['অছাম'],['অছাম'],[],['Uninterrupted'],['Uninterrupted'],[],['VBN'],['VBN'],[]
তুমি বাসা থেকে কেন বের হইসো ,"['তুমি', 'বাসা', 'থেকে', 'কেন', 'বের', 'হইসো']","['বাসা', 'বের', 'হইসো', 'কেন']","['তুমি', 'থেকে']","['You', 'House', 'From', 'Why', 'Out', 'Hoso']","['House', 'Out', 'Hoso', 'Why']","['You', 'From']","['PRP', 'NNP', 'IN', 'WRB', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'WRB']","['PRP', 'IN']"
বাংলা নববর্ষের শুভেচ্ছা বক্তব্যে ইংরেজীর ছড়াছড়ি।,"['বাংলা', 'নববর্ষের', 'শুভেচ্ছা', 'বক্তব্যে', 'ইংরেজীর', 'ছড়াছড়ি']","['বাংলা', 'নববর্ষের', 'শুভেচ্ছা', 'বক্তব্যে', 'ইংরেজীর', 'ছড়াছড়ি']",[],"['Bengali', 'New Year', 'Greeting', 'In the speech', 'English', 'Scatter']","['Bengali', 'New Year', 'Greeting', 'In the speech', 'English', 'Scatter']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
বাঁশ গুলা সুন্দর লম্বা লম্বা,"['বাঁশ', 'গুলা', 'সুন্দর', 'লম্বা', 'লম্বা']","['বাঁশ', 'গুলা', 'লম্বা', 'লম্বা']",['সুন্দর'],"['Bamboo', 'Ferry', 'Beautiful', 'Tall', 'Tall']","['Bamboo', 'Ferry', 'Tall', 'Tall']",['Beautiful'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",['JJ']
পদ্দাই মুসলিম নারির সুন্দর্য্য,"['পদ্দাই', 'মুসলিম', 'নারির', 'সুন্দর্য্য']","['পদ্দাই', 'মুসলিম', 'নারির', 'সুন্দর্য্য']",[],"['Poddai', 'Muslim', 'Woman', 'Beautiful']","['Poddai', 'Muslim', 'Woman', 'Beautiful']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
আল্লাহ আপনাকে হেদায়েত দান করুক(আমিন),"['আল্লাহ', 'আপনাকে', 'হেদায়েত', 'দান', 'করুক', 'আমিন']","['আল্লাহ', 'আপনাকে', 'হেদায়েত', 'দান', 'করুক', 'আমিন']",[],"['Allah', 'You', 'Guidance', 'Donation', 'Do', 'Amin']","['Allah', 'You', 'Guidance', 'Donation', 'Do', 'Amin']",[],"['NNP', 'PRP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'PRP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
সাকিব ভাইকে মিস করবো ,"['সাকিব', 'ভাইকে', 'মিস', 'করবো']","['সাকিব', 'ভাইকে', 'মিস', 'করবো']",[],"['Shakib', 'Brother', 'Miss', 'I will']","['Shakib', 'Brother', 'Miss', 'I will']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
হিজাবই সুন্দর ও সঠিক,"['হিজাবই', 'সুন্দর', 'ও', 'সঠিক']","['হিজাবই', 'ও', 'সঠিক']",['সুন্দর'],"['Hijab', 'Beautiful', 'O', 'Right']","['Hijab', 'O', 'Right']",['Beautiful'],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['JJ']
হিরো আলম ভাইঅনেক চালাক,"['হিরো', 'আলম', 'ভাইঅনেক', 'চালাক']","['হিরো', 'আলম', 'ভাইঅনেক', 'চালাক']",[],"['Hero', 'Elasticity', 'Brother -in -law', 'Cute']","['Hero', 'Elasticity', 'Brother -in -law', 'Cute']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
ওকে যা মন চাই বলো--,"['ওকে', 'যা', 'মন', 'চাই', 'বলো']","['ওকে', 'যা', 'মন', 'বলো']",['চাই'],"['OK', 'Which', 'Mind', 'Desire', 'Say']","['OK', 'Which', 'Mind', 'Say']",['Desire'],"['NN', 'NNP', 'NNP', 'NNP', 'NNP']","['NN', 'NNP', 'NNP', 'NNP']",['NN']
বয়সের ভারে আরো কতো কি দেখবো,"['বয়সের', 'ভারে', 'আরো', 'কতো', 'কি', 'দেখবো']","['বয়সের', 'ভারে', 'আরো', 'কতো', 'দেখবো']",['কি'],"['Age', 'In the meantime', 'More', 'How much', 'What', 'I will see']","['Age', 'In the meantime', 'More', 'How much', 'I will see']",['What'],"['NNP', 'NNP', 'JJR', 'JJ', 'WP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['WP']
এত সুন্দর কেন,"['এত', 'সুন্দর', 'কেন']",['এত'],"['সুন্দর', 'কেন']","['So much', 'Beautiful', 'Why']",['So much'],"['Beautiful', 'Why']","['JJ', 'NNP', 'WRB']",['JJ'],"['NNP', 'WRB']"
ইনশা'আল্লাহ,"['ইনশা', 'আল্লাহ']","['ইনশা', 'আল্লাহ']",[],"['Insha', 'Allah']","['Insha', 'Allah']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
আল্লাহ ওনাকে জান্নাতবাসী করুন আমিন,"['আল্লাহ', 'ওনাকে', 'জান্নাতবাসী', 'করুন', 'আমিন']","['আল্লাহ', 'ওনাকে', 'জান্নাতবাসী', 'করুন', 'আমিন']",[],"['Allah', 'Her', 'Paradise', 'Do', 'Amin']","['Allah', 'Her', 'Paradise', 'Do', 'Amin']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
আরো বেশি দাম হলে খুশি হতাম,"['আরো', 'বেশি', 'দাম', 'হলে', 'খুশি', 'হতাম']","['দাম', 'হলে', 'খুশি', 'হতাম']","['আরো', 'বেশি']","['More', 'More', 'Price', 'In', 'Happy', 'Beyond']","['Price', 'In', 'Happy', 'Beyond']","['More', 'More']","['RBR', 'JJR', 'NNP', 'IN', 'NNP', 'NNP']","['NN', 'IN', 'JJ', 'NN']","['RBR', 'RBR']"
দেখে ফেললাম অনেক সুন্দর হয়েছে ,"['দেখে', 'ফেললাম', 'অনেক', 'সুন্দর', 'হয়েছে']","['দেখে', 'ফেললাম']","['অনেক', 'সুন্দর', 'হয়েছে']","['Seeing', 'Throw away', 'Many', 'Beautiful', 'Have been']","['Seeing', 'Throw away']","['Many', 'Beautiful', 'Have been']","['VBG', 'NNP', 'NNP', 'NNP', 'NNP']","['VBG', 'NNP']","['JJ', 'NNP', 'NNP']"
অনিন শাকিল,"['অনিন', 'শাকিল']","['অনিন', 'শাকিল']",[],"['Anin', 'Shade']","['Anin', 'Shade']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
আগে রিয়েল নিউজ টা জানতে হবে,"['আগে', 'রিয়েল', 'নিউজ', 'টা', 'জানতে', 'হবে']","['রিয়েল', 'নিউজ', 'টা', 'জানতে', 'হবে']",['আগে'],"['Before', 'Real', 'News', 'T', 'Know', 'Will']","['Real', 'News', 'T', 'Know', 'Will']",['Before'],"['IN', 'JJ', 'NNP', 'NNP', 'NNP', 'MD']","['JJ', 'NNP', 'NNP', 'NNP', 'MD']",['IN']
মাশাআল্লাহ অনেক সুন্দর আলোচনা হচ্ছে ভাইজানরা।,"['মাশাআল্লাহ', 'অনেক', 'সুন্দর', 'আলোচনা', 'হচ্ছে', 'ভাইজানরা']","['মাশাআল্লাহ', 'আলোচনা', 'সুন্দর', 'হচ্ছে', 'ভাইজানরা']",['অনেক'],"['Masha Allah', 'Many', 'Beautiful', 'Discussion', 'Be', 'Siblings']","['Masha Allah', 'Discussion', 'Beautiful', 'Be', 'Siblings']",['Many'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['JJ']
রোজা রাখবেন না আপাসেহরি করছেন তো,"['রোজা', 'রাখবেন', 'না', 'আপাসেহরি', 'করছেন', 'তো']","['রোজা', 'রাখবেন', 'আপাসেহরি', 'করছেন', 'না', 'তো']",[],"['Fasting', 'Keep', 'Not', 'Discharge', 'Doing', 'There']","['Fasting', 'Keep', 'Discharge', 'Doing', 'Not', 'There']",[],"['VBG', 'NNP', 'RB', 'NNP', 'NNP', 'EX']","['VBG', 'NNP', 'NNP', 'NNP', 'RB', 'EX']",[]
সেহরি করে নেন আপা।সময় বেশি নেই আর ,"['সেহরি', 'করে', 'নেন', 'আপা', 'সময়', 'বেশি', 'নেই', 'আর']","['সেহরি', 'করে', 'নেন', 'আপা', 'সময়', 'নেই']","['বেশি', 'আর']","['Sehri', 'By', 'Take', 'Apa', 'Time', 'More', 'No', 'More']","['Sehri', 'By', 'Take', 'Apa', 'Time', 'No']","['More', 'More']","['NN', 'IN', 'NNP', 'NNP', 'NNP', 'JJR', 'RB', 'JJR']","['NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP']","['RBR', 'RBR']"
অধঃপতন হয়েছে সামাজের সংস্কৃতির ও সভ্যতার,"['অধঃপতন', 'হয়েছে', 'সামাজের', 'সংস্কৃতির', 'ও', 'সভ্যতার']","['অধঃপতন', 'সামাজের', 'সংস্কৃতির', 'ও', 'সভ্যতার']",['হয়েছে'],"['Degradation', 'Have been', 'Social', 'Culture', 'O', 'Civilization']","['Degradation', 'Social', 'Culture', 'O', 'Civilization']",['Have been'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['NN']
মজা পাইলাম।,"['মজা', 'পাইলাম']","['মজা', 'পাইলাম']",[],"['Fun', 'Polam']","['Fun', 'Polam']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
ঘরনী জাহানা!,"['ঘরনী', 'জাহানা']","['ঘরনী', 'জাহানা']",[],"['Housewife', 'Heaven']","['Housewife', 'Heaven']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
মাশাআল্লাহ,['মাশাআল্লাহ'],['মাশাআল্লাহ'],[],['Masha Allah'],['Masha Allah'],[],['NN'],['NN'],[]
উপস্থাপিকায় তো বেশি সুন্দর!,"['উপস্থাপিকায়', 'তো', 'বেশি', 'সুন্দর']","['উপস্থাপিকায়', 'তো', 'সুন্দর']",['বেশি'],"['In the presence', 'There', 'More', 'Beautiful']","['In the presence', 'There', 'Beautiful']",['More'],"['NN', 'EX', 'RBR', 'JJ']","['NN', 'EX', 'NNP']",['RBR']
ভালবাসা,['ভালবাসা'],['ভালবাসা'],[],['Love'],['Love'],[],['VB'],['VB'],[]
ধন্যবাদ ভান্টু দা,"['ধন্যবাদ', 'ভান্টু', 'দা']","['ভান্টু', 'দা', 'ধন্যবাদ']",[],"['Thank you', 'Dancing', 'Bid']","['Dancing', 'Bid', 'Thank you']",[],"['NNP', 'NNP', 'NNP']","['VBG', 'NNP', 'NNP']",[]
ধন্যবাদ,['ধন্যবাদ'],['ধন্যবাদ'],[],['Thank you'],['Thank you'],[],['NN'],['NN'],[]
ইসলাম বার্তা,"['ইসলাম', 'বার্তা']","['ইসলাম', 'বার্তা']",[],"['Islam', 'Message']","['Islam', 'Message']",[],"['NNP', 'NN']","['NNP', 'NN']",[]
আলহামদুলিল্লাহ্‌ স্যালুট আপনাকে মহৎ উদ্যগ নেওয়ার জন্য,"['আলহামদুলিল্লাহ্', 'স্যালুট', 'আপনাকে', 'মহৎ', 'উদ্যগ', 'নেওয়ার', 'জন্য']","['আলহামদুলিল্লাহ্', 'স্যালুট', 'আপনাকে', 'মহৎ', 'উদ্যগ', 'নেওয়ার']",['জন্য'],"['Alhamdulillah', 'Salute', 'You', 'Great', 'Enthusiasm', 'Take', 'For']","['Alhamdulillah', 'Salute', 'You', 'Great', 'Enthusiasm', 'Take']",['For'],"['NNP', 'NNP', 'PRP', 'VBP', 'JJ', 'NNP', 'IN']","['NNP', 'NNP', 'PRP', 'VBP', 'NNS', 'VB']",['IN']
টাকা থাকলে আমি কিনে নিতাম,"['টাকা', 'থাকলে', 'আমি', 'কিনে', 'নিতাম']","['টাকা', 'থাকলে', 'কিনে', 'নিতাম']",['আমি'],"['Money', 'If', 'I', 'By', 'Nesting']","['Money', 'If', 'By', 'Nesting']",['I'],"['NN', 'IN', 'PRP', 'IN', 'VBG']","['NN', 'IN', 'IN', 'VBG']",['PRP']
ভালোবাসা নিও প্রিয় ,"['ভালোবাসা', 'নিও', 'প্রিয়']","['ভালোবাসা', 'নিও', 'প্রিয়']",[],"['Love', 'Nihil', 'Beloved']","['Love', 'Nihil', 'Beloved']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
মাশাল্লাহ অাল্লাহ অাপনাকে হেদায়েত দান করুক।,"['মাশাল্লাহ', 'অাল্লাহ', 'অাপনাকে', 'হেদায়েত', 'দান', 'করুক']","['মাশাল্লাহ', 'অাল্লাহ', 'অাপনাকে', 'হেদায়েত', 'দান', 'করুক']",[],"['Mashal', 'Allah', 'You', 'Guidance', 'Donation', 'Do']","['Mashal', 'Allah', 'You', 'Guidance', 'Donation', 'Do']",[],"['NNP', 'NNP', 'PRP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'PRP', 'NNP', 'NNP', 'NNP']",[]
হিরো আলমকে ধন্যবাদ সত্যতার প্রতিবাদ করাতে,"['হিরো', 'আলমকে', 'ধন্যবাদ', 'সত্যতার', 'প্রতিবাদ', 'করাতে']","['হিরো', 'আলমকে', 'ধন্যবাদ', 'সত্যতার', 'প্রতিবাদ', 'করাতে']",[],"['Hero', 'Alam', 'Thank you', 'Authenticity', 'Protest', 'In the way']","['Hero', 'Alam', 'Thank you', 'Authenticity', 'Protest', 'In the way']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
সাদা,['সাদা'],['সাদা'],[],['White'],['White'],[],['NNP'],['NNP'],[]
এখন আপাতত থাকা যাবে না ভাইরাস আছে,"['এখন', 'আপাতত', 'থাকা', 'যাবে', 'না', 'ভাইরাস', 'আছে']","['আপাতত', 'থাকা', 'যাবে', 'না', 'ভাইরাস', 'আছে']",['এখন'],"['Now', 'Now', 'Be', 'Go', 'Not', 'Virus', 'There is']","['Now', 'Be', 'Go', 'Not', 'Virus', 'There is']",['Now'],"['RB', 'RB', 'NNP', 'NNP', 'RB', 'NNP', 'NNP']","['RB', 'NNP', 'NNP', 'RB', 'NNP', 'NNP']",['RB']
কিউটের ডিব্বা  পড়শী,"['কিউটের', 'ডিব্বা', 'পড়শী']","['কিউটের', 'ডিব্বা', 'পড়শী']",[],"['Cute', 'Diba', 'Attendant']","['Cute', 'Diba', 'Attendant']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
আপু ,['আপু'],['আপু'],[],['Apocalyptic'],['Apocalyptic'],[],['JJ'],['JJ'],[]
ইনশাআল্লাহ্ পাশে থাকার সর্বোচ্চ চেষ্টা  করবো,"['ইনশাআল্লাহ্', 'পাশে', 'থাকার', 'সর্বোচ্চ', 'চেষ্টা', 'করবো']","['ইনশাআল্লাহ্', 'থাকার', 'সর্বোচ্চ', 'চেষ্টা', 'করবো']",['পাশে'],"['Insha Allah', 'Side', 'Stay', 'Maximum', 'Attempt', 'I will']","['Insha Allah', 'Stay', 'Maximum', 'Attempt', 'I will']",['Side'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['NN']
ভক্ত গুলো কেমন আছে খোজ খবর নিয়েন।,"['ভক্ত', 'গুলো', 'কেমন', 'আছে', 'খোজ', 'খবর', 'নিয়েন']","['ভক্ত', 'গুলো', 'কেমন', 'খোজ', 'খবর', 'নিয়েন']",['আছে'],"['Devotee', 'Gourmet', 'How', 'There is', 'Outspoken', 'News', 'Niece']","['Devotee', 'Gourmet', 'How', 'Outspoken', 'News', 'Niece']",['There is'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['NN']
এমপি হিরো আলম ,"['এমপি', 'হিরো', 'আলম']","['এমপি', 'হিরো', 'আলম']",[],"['MP', 'Hero', 'Elasticity']","['MP', 'Hero', 'Elasticity']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
ভাই বেস্ট,"['ভাই', 'বেস্ট']",['বেস্ট'],['ভাই'],"['Brother', 'Best']",['Best'],['Brother'],"['NN', 'JJS']",['JJS'],['NN']
চিংড়ি মাছ ,"['চিংড়ি', 'মাছ']","['চিংড়ি', 'মাছ']",[],"['Shrimp', 'Fish']","['Shrimp', 'Fish']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
বাইশ গজের বাইরে ভালো থাকবেন প্রিয় ভাই,"['বাইশ', 'গজের', 'বাইরে', 'ভালো', 'থাকবেন', 'প্রিয়', 'ভাই']","['বাইশ', 'গজের', 'থাকবেন', 'প্রিয়']","['বাইরে', 'ভালো', 'ভাই']","['Twenty -two', 'Yard', 'Out', 'Good', 'Stay', 'Beloved', 'Brother']","['Twenty -two', 'Yard', 'Stay', 'Beloved']","['Out', 'Good', 'Brother']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']","['RB', 'JJ', 'NN']"
গল্পটা শেষ হয়েও হয়নি মনে হচ্ছে।।,"['গল্পটা', 'শেষ', 'হয়েও', 'হয়নি', 'মনে', 'হচ্ছে']","['গল্পটা', 'শেষ', 'হয়েও', 'হয়নি', 'মনে', 'হচ্ছে']",[],"['Story', 'End', 'Even', 'Did not', 'Fondly', 'Be']","['Story', 'End', 'Even', 'Did not', 'Fondly', 'Be']",[],"['JJ', 'NNP', 'NNP', 'NNP', 'RB', 'VBD']","['JJ', 'NNP', 'NNP', 'NNP', 'RB', 'VBD']",[]
ইনশাআল্লাহ যেখানেই থাকবেন ভালো থাকবেন বস।,"['ইনশাআল্লাহ', 'যেখানেই', 'থাকবেন', 'ভালো', 'থাকবেন', 'বস']","['ইনশাআল্লাহ', 'যেখানেই', 'থাকবেন', 'থাকবেন', 'ভালো']",['বস'],"['Insha Allah', 'Wherever', 'Stay', 'Good', 'Stay', 'Camouflage']","['Insha Allah', 'Wherever', 'Stay', 'Stay', 'Good']",['Camouflage'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['NN']
আলহামদুলিল্লাহ ইনশাআল্লাহ।,"['আলহামদুলিল্লাহ', 'ইনশাআল্লাহ']","['আলহামদুলিল্লাহ', 'ইনশাআল্লাহ']",[],"['Alhamdulillah', 'Insha Allah']","['Alhamdulillah', 'Insha Allah']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
অপেক্ষায় আছি পঞ্চপান্ডব,"['অপেক্ষায়', 'আছি', 'পঞ্চপান্ডব']","['অপেক্ষায়', 'আছি', 'পঞ্চপান্ডব']",[],"['Waiting', 'There', 'Penta']","['Waiting', 'There', 'Penta']",[],"['VBG', 'EX', 'NNP']","['VBG', 'EX', 'NNP']",[]
ভালোবাসা অবিরাম প্রিয় হুজুর,"['ভালোবাসা', 'অবিরাম', 'প্রিয়', 'হুজুর']","['ভালোবাসা', 'অবিরাম', 'হুজুর']",['প্রিয়'],"['Love', 'Endless', 'Beloved', 'Guru']","['Love', 'Endless', 'Guru']",['Beloved'],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['VBN']
এটাই বেস্ট ছিলঈদ গিফট ,"['এটাই', 'বেস্ট', 'ছিলঈদ', 'গিফট']","['বেস্ট', 'ছিলঈদ', 'গিফট']",['এটাই'],"['It', 'Best', 'Wash', 'Gift']","['Best', 'Wash', 'Gift']",['It'],"['PRP', 'JJS', 'NNP', 'NNP']","['JJS', 'NN', 'NN']",['PRP']
অপেক্ষায় ছিলাম ,"['অপেক্ষায়', 'ছিলাম']","['অপেক্ষায়', 'ছিলাম']",[],"['Waiting', 'Was']","['Waiting', 'Was']",[],"['VBG', 'NNP']","['VBG', 'NNP']",[]
যুগপোযোগী লিখা।,"['যুগপোযোগী', 'লিখা']","['যুগপোযোগী', 'লিখা']",[],"['Egotistical', 'Write']","['Egotistical', 'Write']",[],"['JJ', 'NNP']","['JJ', 'NNP']",[]
অনেক ভালো লাগলো,"['অনেক', 'ভালো', 'লাগলো']","['ভালো', 'লাগলো']",['অনেক'],"['Many', 'Good', 'Looked']","['Good', 'Looked']",['Many'],"['JJ', 'NNP', 'VBD']","['JJ', 'VBD']",['JJ']
সুর পাল্টাইছে,"['সুর', 'পাল্টাইছে']","['সুর', 'পাল্টাইছে']",[],"['Tune', 'Change']","['Tune', 'Change']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
আমি শুধু কমেন্ট পড়তে আসি!,"['আমি', 'শুধু', 'কমেন্ট', 'পড়তে', 'আসি']","['পড়তে', 'আসি']","['আমি', 'শুধু', 'কমেন্ট']","['I', 'Only', 'Comment', 'Read', 'Asi']","['Read', 'Asi']","['I', 'Only', 'Comment']","['PRP', 'RB', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP']","['PRP', 'RB', 'VBD']"
হলুদের ছবিতে অন্য রঙের লিপস্টিক কেন,"['হলুদের', 'ছবিতে', 'অন্য', 'রঙের', 'লিপস্টিক', 'কেন']","['হলুদের', 'ছবিতে', 'অন্য', 'রঙের', 'লিপস্টিক']",['কেন'],"['Yellow', 'In', 'Another', 'Color', 'Lipstick', 'Why']","['Yellow', 'In', 'Another', 'Color', 'Lipstick']",['Why'],"['NN', 'IN', 'DT', 'NNP', 'NNP', 'WRB']","['NN', 'IN', 'DT', 'NNP', 'NNP']",['WRB']
দূরত্ব বজায় রাখে ,"['দূরত্ব', 'বজায়', 'রাখে']","['দূরত্ব', 'বজায়', 'রাখে']",[],"['Distance', 'Maintain', 'Keep']","['Distance', 'Maintain', 'Keep']",[],"['NN', 'NNP', 'NNP']","['NN', 'NNP', 'NNP']",[]
সুন্দরী :*,['সুন্দরী'],['সুন্দরী'],[],['Beautiful'],['Beautiful'],[],['JJ'],['JJ'],[]
তোকে আল্লাহ হেদায়েত দান করুক,"['তোকে', 'আল্লাহ', 'হেদায়েত', 'দান', 'করুক']","['তোকে', 'আল্লাহ', 'হেদায়েত', 'দান', 'করুক']",[],"['You', 'Allah', 'Guidance', 'Donation', 'Do']","['You', 'Allah', 'Guidance', 'Donation', 'Do']",[],"['PRP', 'VBP', 'NNP', 'NNP', 'NNP']","['PRP', 'VBP', 'NNP', 'NNP', 'NNP']",[]
দেখেছি । খুব ভালো লেগেছে।,"['দেখেছি', 'খুব', 'ভালো', 'লেগেছে']","['দেখেছি', 'ভালো', 'লেগেছে']",['খুব'],"['See', 'Very', 'Good', 'Like']","['See', 'Good', 'Like']",['Very'],"['VB', 'RB', 'JJ', 'IN']","['VB', 'JJ', 'IN']",['RB']
বাকির আশা করে লাভ কি,"['বাকির', 'আশা', 'করে', 'লাভ', 'কি']","['বাকির', 'আশা', 'করে', 'লাভ']",['কি'],"['Rest', 'Hope', 'By', 'Profit', 'What']","['Rest', 'Hope', 'By', 'Profit']",['What'],"['NNP', 'NNP', 'IN', 'NNP', 'WP']","['NNP', 'NNP', 'IN', 'NN']",['WP']
কমেন্ট পড়তে এসেছি,"['কমেন্ট', 'পড়তে', 'এসেছি']","['পড়তে', 'এসেছি']",['কমেন্ট'],"['Comment', 'Read', 'Come']","['Read', 'Come']",['Comment'],"['NN', 'NNP', 'NNP']","['NNP', 'NNP']",['NN']
নবান,['নবান'],['নবান'],[],['New'],['New'],[],['NNP'],['NNP'],[]
মাসআল্লাহ অনেক সুন্দর,"['মাসআল্লাহ', 'অনেক', 'সুন্দর']",['মাসআল্লাহ'],"['অনেক', 'সুন্দর']","['Masullah', 'Many', 'Beautiful']",['Masullah'],"['Many', 'Beautiful']","['NNP', 'NNP', 'NNP']",['NN'],"['JJ', 'NNP']"
কি হোয়াদ লাগে হিতির কাছে,"['কি', 'হোয়াদ', 'লাগে', 'হিতির', 'কাছে']","['হোয়াদ', 'লাগে', 'হিতির', 'কাছে']",['কি'],"['What', 'Hood', 'Take', 'Anecdote', 'Near']","['Hood', 'Take', 'Anecdote', 'Near']",['What'],"['WP', 'NNP', 'NNP', 'NNP', 'IN']","['NNP', 'NNP', 'NNP', 'IN']",['WP']
আজকে একটা দেখছি,"['আজকে', 'একটা', 'দেখছি']","['আজকে', 'একটা', 'দেখছি']",[],"['Today', 'One', 'See']","['Today', 'One', 'See']",[],"['NN', 'CD', 'NN']","['NN', 'CD', 'NN']",[]
বাংলা নতুন বছরের শুভেচ্ছা ১৪২৭,"['বাংলা', 'নতুন', 'বছরের', 'শুভেচ্ছা', '১৪২৭']","['বাংলা', 'বছরের', 'শুভেচ্ছা', '১৪২৭']",['নতুন'],"['Bengali', 'New', 'Year', 'Greeting', '120']","['Bengali', 'Year', 'Greeting', '120']",['New'],"['NNP', 'NNP', 'NNP', 'NNP', 'CD']","['NNP', 'NNP', 'VBG', 'CD']",['NNP']
সরল সঠিক পথে আসেন।,"['সরল', 'সঠিক', 'পথে', 'আসেন']","['সরল', 'সঠিক', 'পথে', 'আসেন']",[],"['Simple', 'Right', 'On the way', 'Come']","['Simple', 'Right', 'On the way', 'Come']",[],"['JJ', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP']",[]
অনেক ভালোলাগলো ।,"['অনেক', 'ভালোলাগলো']",['ভালোলাগলো'],['অনেক'],"['Many', 'Good']",['Good'],['Many'],"['JJ', 'JJ']",['JJ'],['JJ']
দারুন সুন্দর,"['দারুন', 'সুন্দর']",['দারুন'],['সুন্দর'],"['Well', 'Beautiful']",['Well'],['Beautiful'],"['RB', 'NNP']",['RB'],['JJ']
আলহামদুলিল্লাহ ,['আলহামদুলিল্লাহ'],['আলহামদুলিল্লাহ'],[],['Alhamdulillah'],['Alhamdulillah'],[],['NN'],['NN'],[]
